Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
358,WAY,94538,832600,1,3,Centerville,False
359,DR,94538,832610,2,3,Centerville,True
360,DR,94538,832800,0,3,Centerville,False
361,DR,94538,832620,1,3,Centerville,False
362,CMN,94536,835100,0,3,Centerville,False
363,CT,94536,835420,0,3,Downtown / BART,False
364,AVE,94536,835500,0,3,Downtown / BART,False
365,DR,94536,832210,2,3,Centerville,False
366,BLVD,94538,835310,0,3,Downtown / BART,True
367,BLVD,94538,835310,0,3,Downtown / BART,True
368,CMN,94536,835100,0,3,Centerville,False
369,DR,94536,835300,0,3,Downtown / BART,True
370,TER,94536,835500,0,3,Downtown / BART,False
371,WAY,94536,835410,0,3,Downtown / BART,False
372,DR,94538,832900,0,3,Centerville,False
373,CT,94538,832910,0,3,Centerville,False
374,DR,94536,832400,0,3,Centerville,False
375,DR,94536,835400,0,3,Downtown / BART,False
376,CMN,94538,835310,0,3,Downtown / BART,False
377,BLVD,94538,835310,0,3,Downtown / BART,True
378,DR,94538,832810,0,3,Centerville,False
379,WAY,94538,832600,1,3,Centerville,True
380,AVE,94538,835300,0,3,Downtown / BART,True
381,AVE,94536,835040,0,3,Downtown / BART,False
382,ST,94538,835310,0,3,Downtown / BART,True
383,DR,94538,832810,0,3,Centerville,False
384,ST,94538,832810,0,3,Centerville,False
385,RD,94538,832900,0,3,Centerville,False
386,CMN,94538,835310,0,3,Downtown / BART,False
387,ST,94538,835310,0,3,Downtown / BART,True
388,WAY,94538,832610,2,3,Centerville,True
389,AVE,94538,832600,1,3,Centerville,True
390,ST,94536,835040,0,3,Downtown / BART,False
391,RD,94538,832900,0,3,Centerville,False
392,WAY,94538,832620,2,3,Centerville,False
393,AVE,94538,835300,0,3,Downtown / BART,True
394,AVE,94538,832600,1,3,Centerville,True
395,WAY,94538,832710,0,3,Centerville,False
396,WAY,94536,835100,0,3,Centerville,False
397,PL,94536,835000,0,3,Downtown / BART,False
398,BLVD,94538,835310,0,3,Downtown / BART,True
399,AVE,94536,835040,0,3,Downtown / BART,False
400,DR,94538,832810,0,3,Centerville,False
401,WAY,94536,832210,2,3,Centerville,False
402,TER,94536,835500,0,3,Downtown / BART,False
403,BLVD,94538,832700,2,3,Centerville,True
404,RD,94538,832810,0,3,Centerville,False
405,TER,94536,835500,0,3,Downtown / BART,False
406,BLVD,94536,832210,1,3,Centerville,True
407,DR,94538,832810,0,3,Centerville,False
408,DR,94538,832900,0,3,Centerville,False
409,DR,94536,831730,0,3,Downtown / BART,False
410,LN,94538,832700,1,3,Centerville,False
411,WAY,94538,832600,1,3,Centerville,True
412,CMN,94536,835100,0,3,Centerville,True
413,CT,94538,832710,0,3,Centerville,False
414,DR,94536,832110,0,3,Centerville,False
415,GRN,94536,835400,0,3,Downtown / BART,False
416,WAY,94536,832400,0,3,Centerville,False
417,CMN,94538,835310,0,3,Downtown / BART,False
418,AVE,94538,835300,0,3,Downtown / BART,False
419,DR,94538,832810,0,3,Centerville,False
420,BLVD,94538,832700,1,3,Centerville,True
421,DR,94536,835400,0,3,Downtown / BART,False
422,ST,94536,835010,0,3,Centerville,False
423,DR,94536,832110,0,3,Centerville,False
424,ST,94536,835400,0,3,Downtown / BART,False
425,PL,94538,832910,0,3,Centerville,False
426,TER,94538,832910,0,3,Centerville,False
427,ST,94536,835200,0,3,Centerville,True
428,DR,94536,835300,0,3,Downtown / BART,False
429,DR,94538,832620,2,3,Centerville,False
430,LN,94538,832810,0,3,Centerville,False
431,DR,94538,832900,0,3,Centerville,False
432,CT,94538,832900,0,3,Centerville,False
433,AVE,94538,832810,0,3,Centerville,False
434,TER,94536,835000,0,3,Downtown / BART,False
435,BLVD,94538,832700,2,3,Centerville,True
436,CT,94536,831730,0,3,Downtown / BART,False
437,CMN,94536,835300,0,3,Downtown / BART,False
438,CMN,94536,835100,0,3,Centerville,False
439,AVE,94536,835500,0,3,Downtown / BART,True
440,PL,94538,832600,1,3,Centerville,False
441,PKWY,94536,835000,0,3,Downtown / BART,True
442,ST,94538,832710,0,3,Centerville,False
443,ST,94536,835400,0,3,Downtown / BART,False
444,ST,94536,835410,0,3,Downtown / BART,False
445,DR,94538,832620,1,3,Centerville,False
446,ST,94536,832110,0,3,Centerville,False
447,BLVD,94538,835310,0,3,Downtown / BART,True
448,BLVD,94538,835310,0,3,Downtown / BART,True
449,BLVD,94538,832700,2,3,Centerville,True
450,CMN,94538,835310,0,3,Downtown / BART,False
451,DR,94536,832210,2,3,Centerville,False
452,BLVD,94538,832700,2,3,Centerville,True
453,AVE,94536,835200,0,3,Centerville,True
454,CT,94536,835000,0,3,Downtown / BART,False
455,ST,94538,832810,0,3,Centerville,False
456,DR,94538,832610,2,3,Centerville,True
457,DR,94538,832620,1,3,Centerville,False
458,AVE,94538,835310,0,3,Downtown / BART,True
459,DR,94536,835100,0,3,Centerville,False
460,CMN,94536,835420,0,3,Downtown / BART,False
461,CMN,94538,835310,0,3,Downtown / BART,False
462,BLVD,94538,835310,0,3,Downtown / BART,True
463,WAY,94536,832210,2,3,Centerville,False
464,DR,94538,832800,0,3,Centerville,False
465,AVE,94536,835010,0,3,Centerville,False
466,DR,94536,832210,1,3,Centerville,True
467,ST,94536,835300,0,3,Downtown / BART,True
468,TER,94536,832110,0,3,Centerville,False
469,AVE,94538,832620,2,3,Centerville,False
470,GRN,94536,835400,0,3,Downtown / BART,False
471,CMN,94538,835310,0,3,Downtown / BART,False
472,WAY,94536,832400,0,3,Centerville,False
473,DR,94536,835100,0,3,Centerville,False
474,AVE,94536,835300,0,3,Downtown / BART,True
475,AVE,94536,835500,0,3,Downtown / BART,False
476,ST,94536,835400,0,3,Downtown / BART,True
477,AVE,94536,835300,0,3,Downtown / BART,True
478,CMN,94538,832620,2,3,Centerville,False
479,ST,94538,832800,0,3,Centerville,False
480,AVE,94538,835300,0,3,Downtown / BART,True
481,DR,94538,832900,0,3,Centerville,False
482,AVE,94538,835300,0,3,Downtown / BART,True
483,ST,94536,832210,2,3,Centerville,True
484,BLVD,94538,835310,0,3,Downtown / BART,True
485,CT,94538,832800,0,3,Centerville,False
486,CMN,94538,832610,1,3,Centerville,False
