Vid,Abbr,Precinct,PrecinctSub,Party,RegDate,PAV,RegDateOriginal,E6_110816,E5_060716,E4_110414,E3_060314,E2_110612,E1_060512,District,VoterScore,VoterScorePossible,VoterScorePctOfPoss,BirthYear,havePhone,BirthPlaceState,BirthPlaceCountry,Gender,sameMailAddress,MailCountry,isApt,Zip,StreetType,EmailProvider,E5_060716BT,E1_060512BT,Tot_Possible_Votes,Act_Votes,Pct_Possible_Votes,Hid
91,111,832600,1,DEM,2016-02-01,Y,2016-02-01,A,N,,,,,3,2.5001,5.5003,0.45,1996,False,UKN,Philippines,F,True,,False,94538,ST,ukn,DEM,,2,1,0.5,1299
92,16,835500,0,NPP,2008-04-22,N,2008-04-22,V,N,V,V,V,N,3,7.0029,11.0063,0.64,1972,True,UKN,India,M,True,,False,94536,CMN,hotmail.com,,,6,4,0.6666666666666666,5537
93,1,835100,0,NPP,2004-10-15,N,2004-10-15,N,N,N,N,N,N,3,0.0,11.0063,0.0,1959,True,UKN,China,F,True,,False,94536,DR,ukn,,,6,0,0.0,2743
94,1,832620,2,DEM,2016-03-02,Y,2009-09-21,A,N,N,N,N,N,3,2.5001,11.0063,0.23,1990,True,California,USA,F,True,,False,94538,WAY,aol.com,DEM,,6,1,0.16666666666666666,774
95,82,835310,0,DEM,1992-08-21,Y,1992-08-21,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1928,False,California,USA,F,True,,False,94538,BLVD,ukn,DEM,DEM,6,6,1.0,343
96,82,832400,0,DEM,2008-02-05,Y,1984-09-26,A,N,N,N,V,N,3,4.0017,11.0063,0.36,1964,True,California,USA,F,True,,False,94536,CT,gmail.com,,,6,2,0.3333333333333333,2441
97,23,835310,0,DEM,2017-04-12,Y,2010-02-26,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1986,True,California,USA,M,True,,True,94538,BLVD,gmail.com,DEM,NP,6,3,0.5,4039
98,99,832800,0,NPP,2014-12-03,Y,2014-11-04,A,V,,,,,3,5.5003,5.5003,1.0,1993,True,California,USA,M,True,,False,94538,CT,yahoo.com,NPP,,2,2,1.0,3141
99,12,835420,0,DEM,2016-11-08,N,2004-09-27,V,V,N,N,V,N,3,7.0019,11.0063,0.64,1983,False,California,USA,F,True,,False,94536,ST,ukn,DEM,DEM,6,3,0.5,5236
100,32,835300,0,DEM,1996-11-05,Y,1996-11-05,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1940,True,Mississippi,USA,F,True,,True,94538,AVE,ukn,DEM,DEM,6,6,1.0,2794
101,16,835040,0,NPP,2008-10-02,Y,2008-10-02,A,N,N,N,A,N,3,4.0017,11.0063,0.36,1988,True,California,USA,F,True,,False,94536,AVE,ukn,NPP,NP,6,2,0.3333333333333333,3296
102,99,835310,0,DEM,2012-04-10,Y,2012-04-10,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1930,True,California,USA,F,False,USA,True,94538,AVE,ukn,DEM,DEM,6,6,1.0,3468
103,109,832600,1,NPP,2000-10-05,Y,2000-10-05,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1963,False,Oklahoma,USA,M,True,,False,94538,AVE,ukn,N-DEM,NP,6,6,1.0,3553
104,82,835300,0,DEM,2014-01-03,Y,1970-04-03,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1946,False,California,USA,F,True,,True,94538,AVE,ukn,DEM,DEM,6,6,1.0,1496
105,16,832600,1,DEM,2008-08-20,N,2008-08-20,N,N,N,N,V,N,3,1.5016,11.0063,0.14,1961,True,Illinois,USA,F,True,,False,94538,ST,ukn,,,6,1,0.16666666666666666,4451
106,12,835400,0,DEM,2012-11-06,N,2012-07-11,V,V,N,N,V,,3,7.0019,10.0031,0.7,1986,True,UKN,India,UNK,True,,False,94536,ST,ukn,DEM,,5,3,0.6,5788
107,82,832910,0,NPP,1976-10-04,Y,1976-10-04,A,A,A,N,A,N,3,8.8023,11.0063,0.8,1952,False,Illinois,USA,F,True,,False,94538,PL,ukn,NPP,NP,6,4,0.6666666666666666,4031
108,1,835100,0,REP,2015-05-28,Y,2015-05-28,V,A,,,,,3,5.5003,5.5003,1.0,1995,False,UKN,Romania,M,True,,False,94536,WAY,ukn,REP,,2,2,1.0,285
109,16,832110,0,DEM,2000-10-10,Y,2000-10-10,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1960,False,California,USA,F,True,,False,94536,CT,ukn,DEM,DEM,6,3,0.5,844
110,1,832610,2,DEM,2017-05-15,Y,2007-05-18,A,N,N,N,N,N,3,2.5001,11.0063,0.23,1983,False,California,USA,F,True,,False,94538,WAY,yahoo.com,NPP,NP,6,1,0.16666666666666666,6258
111,32,835310,0,REP,2017-09-01,N,2008-01-14,N,N,N,N,N,N,3,0.0,11.0063,0.0,1932,False,UKN,Viet Nam,F,True,,False,94538,AVE,ukn,,,6,0,0.0,4988
112,16,832110,0,DEM,2012-06-05,Y,1982-10-01,A,A,A,N,A,V,3,9.8055,11.0063,0.89,1954,True,California,USA,F,True,,False,94536,DR,ukn,DEM,DEM,6,5,0.8333333333333334,1871
113,99,832610,2,NPP,2018-04-25,Y,2018-04-02,,,,,,,3,0.0,-1.0,-1.0,1981,False,UKN,India,M,True,,True,94538,LN,ukn,,,0,0,-1.0,4423
114,111,832400,0,NPP,2016-10-24,N,2016-10-24,V,,,,,,3,2.5001,2.5001,1.0,1962,True,California,USA,M,True,,True,94536,RD,gmail.com,,,1,1,1.0,4254
115,1,835310,0,NPP,2004-08-24,N,2004-08-24,V,N,N,N,V,N,3,4.0017,11.0063,0.36,1964,True,UKN,India,F,True,,False,94538,CMN,ukn,,,6,2,0.3333333333333333,598
116,16,835400,0,GRN,1992-10-05,N,1992-10-05,N,N,N,N,N,N,3,0.0,11.0063,0.0,1961,False,California,USA,M,True,,False,94536,CMN,ukn,,,6,0,0.0,6654
117,99,832800,0,REP,2014-08-19,Y,2011-10-12,A,N,N,N,N,N,3,2.5001,11.0063,0.23,1985,True,California,USA,F,True,,False,94538,ST,ukn,,,6,1,0.16666666666666666,351
118,76,832620,2,NPP,2003-09-22,Y,1997-06-09,A,A,A,A,A,A,3,11.0063,11.0063,1.0,1929,True,UKN,China,M,True,,True,94538,DR,ukn,N-DEM,N-DEM,6,6,1.0,5390
119,1,835010,0,REP,2012-11-06,Y,2012-11-06,N,N,N,N,,,3,0.0,8.5015,0.0,1992,True,California,USA,F,True,,False,94536,ST,ukn,REP,,4,0,0.0,749
120,1,832600,1,NPP,2017-06-27,Y,1999-11-01,N,A,N,N,A,N,3,4.5018,11.0063,0.41,1974,False,California,USA,M,True,,False,94538,CT,ukn,REP,REP,6,2,0.3333333333333333,3374
121,111,832910,0,DEM,2017-08-14,Y,2017-08-14,,,,,,,3,0.0,-1.0,-1.0,1962,True,UKN,Nicaragua,M,True,,False,94538,PL,yahoo.com,,,0,0,-1.0,36
122,82,835310,0,DEM,2012-01-26,Y,2012-01-26,A,A,N,N,A,N,3,7.0019,11.0063,0.64,1940,True,UKN,India,UNK,True,,True,94538,BLVD,ukn,DEM,DEM,6,3,0.5,4872
123,12,832210,1,DEM,2016-11-08,N,2016-11-08,,,,,,,3,0.0,-1.0,-1.0,1972,False,UKN,India,M,True,,True,94538,AVE,ukn,,,0,0,-1.0,1121
124,99,835100,0,REP,2014-10-20,Y,2014-10-20,A,N,A,,,,3,4.3005,7.3007,0.59,1946,False,UKN,Iran (Islamic Republic of),M,True,,False,94536,DR,ukn,REP,,3,2,0.6666666666666666,332
