Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid,nVoters,nAff,nPAVs,nDEMs,nREPs,nNPPs,nVScorePos,nVScore,nVScorePct,E34_nVotesPos,E34_nVotes,E34_nVotesPct,E56_nVotesPos,E56_nVotes,E56_nVotesPct,E78_nVotesPos,E78_nVotes,E78_nVotesPct,E12_nVotesPos,E12_nVotes,E12_nVotesPct,E14_nVotesPos,E14_nVotes,E14_nVotesPct,E16_nVotesPos,E16_nVotes,E16_nVotesPct,Eap_nVotesPos,Eap_nVotes,Eap_nVotesPct,Eag_nVotesPos,Eag_nVotes,Eag_nVotesPct,E1_nVotesPos,E1_nVotes,E1_nVotesPct,E2_nVotesPos,E2_nVotes,E2_nVotesPct,E3_nVotesPos,E3_nVotes,E3_nVotesPct,E4_nVotesPos,E4_nVotes,E4_nVotesPct,E5_nVotesPos,E5_nVotes,E5_nVotesPct,E6_nVotesPos,E6_nVotes,E6_nVotesPct,PartiesInHH,mostAffls,mixedAffls,allAff,uniformAff
39,DR,94538,832710,0,3,Centerville,False,39,3,3,1,1,2,0,24.5127,11.3024,0.461083438380921,4,1,0.25,8,2,0.25,13,5,0.38461538461538464,4,1,0.25,4,1,0.25,5,3,0.6,6,1,0.16666666666666666,7,4,0.5714285714285714,2,0,0.0,2,1,0.5,2,0,0.0,2,1,0.5,2,1,0.5,3,2,0.6666666666666666,REP DEM REP,REP,True,True,False
40,OTH,94538,832900,0,3,Centerville,False,40,2,0,1,0,0,2,22.0126,9.506699999999999,0.4318753804639161,4,3,0.75,8,3,0.375,12,5,0.4166666666666667,4,3,0.75,4,0,0.0,4,2,0.5,6,2,0.3333333333333333,6,3,0.5,2,1,0.5,2,2,1.0,2,0,0.0,2,0,0.0,2,1,0.5,2,1,0.5,NPP NPP,NPP,False,False,True
41,AVE,94538,832400,0,3,Centerville,True,41,3,2,3,2,0,1,22.006899999999998,5.0002,0.22721055668903847,2,0,0.0,4,0,0.0,10,2,0.2,2,0,0.0,2,0,0.0,6,2,0.3333333333333333,5,0,0.0,5,2,0.4,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,3,0,0.0,3,2,0.6666666666666666,DEM DEM NPP,DEM,False,False,False
42,BLVD,94538,835310,0,3,Downtown / BART,True,42,1,1,1,1,0,0,5.5003,5.5003,1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,0,0,-1.0,0,0,-1.0,2,2,1.0,1,1,1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,1,1,1.0,DEM,DEM,False,True,True
43,CT,94536,832110,0,3,Centerville,False,43,1,1,1,1,0,0,11.0063,8.5062,0.7728482778045301,2,2,1.0,4,4,1.0,6,5,0.8333333333333334,2,2,1.0,2,2,1.0,2,1,0.5,3,3,1.0,3,2,0.6666666666666666,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,0,0.0,DEM,DEM,False,True,True
44,DR,94536,832210,2,3,Centerville,False,44,2,0,0,0,0,2,22.0126,11.6042,0.5271617164714755,4,2,0.5,8,4,0.5,12,6,0.5,4,2,0.5,4,2,0.5,4,2,0.5,6,0,0.0,6,6,1.0,2,0,0.0,2,2,1.0,2,0,0.0,2,2,1.0,2,0,0.0,2,2,1.0,NPP NPP,NPP,False,False,True
45,ST,94536,832210,1,3,Centerville,True,45,1,0,1,0,0,1,11.0063,2.7024,0.2455321043402415,2,1,0.5,4,2,0.5,6,2,0.3333333333333333,2,1,0.5,2,1,0.5,2,0,0.0,3,1,0.3333333333333333,3,1,0.3333333333333333,1,0,0.0,1,1,1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,NPP,NPP,False,False,True
46,ST,94538,832800,0,3,Centerville,False,46,1,1,1,1,0,0,11.0063,11.0063,1.0,2,2,1.0,4,4,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,3,3,1.0,3,3,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,DEM,DEM,False,True,True
47,BLVD,94538,835310,0,3,Downtown / BART,True,47,1,0,0,0,0,1,0.0,0.0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,NPP,NPP,False,False,True
48,CMN,94536,835100,0,3,Centerville,False,48,1,1,1,1,0,0,11.0063,0.0,0.0,2,0,0.0,4,0,0.0,6,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,0,0.0,3,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,DEM,DEM,False,True,True
49,WAY,94536,835040,0,3,Downtown / BART,False,49,3,0,1,0,0,3,24.5127,2.5001,0.10199202862189805,4,0,0.0,8,0,0.0,13,1,0.07692307692307693,4,0,0.0,4,0,0.0,5,1,0.2,6,0,0.0,7,1,0.14285714285714285,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,2,0,0.0,3,1,0.3333333333333333,NPP NPP NPP,NPP,False,False,True
50,AVE,94538,835300,0,3,Downtown / BART,True,50,2,1,2,1,0,1,22.0126,16.5066,0.7498705286972007,4,2,0.5,8,4,0.5,12,8,0.6666666666666666,4,2,0.5,4,2,0.5,4,4,1.0,6,4,0.6666666666666666,6,4,0.6666666666666666,2,1,0.5,2,1,0.5,2,1,0.5,2,1,0.5,2,2,1.0,2,2,1.0,DEM NPP,DEM,False,False,False
51,CT,94538,832600,1,3,Centerville,False,51,3,1,1,1,0,2,27.5129,9.803799999999999,0.35633466482995246,4,2,0.5,8,3,0.375,14,5,0.35714285714285715,4,2,0.5,4,1,0.25,6,2,0.3333333333333333,7,0,0.0,7,5,0.7142857142857143,2,0,0.0,2,2,1.0,2,0,0.0,2,1,0.5,3,0,0.0,3,2,0.6666666666666666,DEM NPP NPP,DEM,False,False,False
52,BLVD,94538,835310,0,3,Downtown / BART,True,52,2,2,2,1,0,0,2.5001,0.0,0.0,0,0,-1.0,0,0,-1.0,1,0,0.0,0,0,-1.0,0,0,-1.0,1,0,0.0,0,0,-1.0,1,0,0.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,0,0.0,AI DEM,TIE,True,True,False
53,WAY,94536,832400,0,3,Centerville,False,53,2,2,0,0,2,0,22.0126,20.0062,0.9088522028292887,4,2,0.5,8,6,0.75,12,10,0.8333333333333334,4,2,0.5,4,4,1.0,4,4,1.0,6,4,0.6666666666666666,6,6,1.0,2,0,0.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,REP REP,REP,False,True,True
54,DR,94538,832620,2,3,Centerville,True,54,1,0,1,0,0,1,11.0063,6.3022,0.5725993294749371,2,1,0.5,4,2,0.5,6,3,0.5,2,1,0.5,2,1,0.5,2,1,0.5,3,1,0.3333333333333333,3,2,0.6666666666666666,1,0,0.0,1,1,1.0,1,0,0.0,1,1,1.0,1,1,1.0,1,0,0.0,NPP,NPP,False,False,True
55,AVE,94536,835000,0,3,Downtown / BART,False,55,2,1,2,0,1,1,5.5003,2.5001,0.45453884333581807,0,0,-1.0,0,0,-1.0,2,1,0.5,0,0,-1.0,0,0,-1.0,2,1,0.5,1,0,0.0,1,1,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,0,0.0,1,1,1.0,NPP REP,REP,False,False,False
56,CT,94536,832400,0,3,Centerville,False,56,1,1,1,1,0,0,11.0063,4.0017,0.3635826753768296,2,1,0.5,4,1,0.25,6,2,0.3333333333333333,2,1,0.5,2,0,0.0,2,1,0.5,3,0,0.0,3,2,0.6666666666666666,1,0,0.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0,DEM,DEM,False,True,True
57,WAY,94538,832900,0,3,Centerville,False,57,2,2,2,0,2,0,22.0126,19.611,0.8908988488411184,4,4,1.0,8,6,0.75,12,10,0.8333333333333334,4,4,1.0,4,2,0.5,4,4,1.0,6,4,0.6666666666666666,6,6,1.0,2,2,1.0,2,2,1.0,2,0,0.0,2,2,1.0,2,2,1.0,2,2,1.0,REP REP,REP,False,True,True
58,CMN,94536,835100,0,3,Centerville,True,58,1,0,1,0,0,1,2.5001,2.5001,1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,1,1,1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,0,0,-1.0,1,1,1.0,NPP,NPP,False,False,True
59,AVE,94536,835040,0,3,Downtown / BART,False,59,1,1,1,1,0,0,11.0063,11.0063,1.0,2,2,1.0,4,4,1.0,6,6,1.0,2,2,1.0,2,2,1.0,2,2,1.0,3,3,1.0,3,3,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,1.0,DEM,DEM,False,True,True
60,DR,94538,832800,0,3,Centerville,False,60,3,2,0,0,1,1,33.0189,17.8089,0.5393547331982592,6,4,0.6666666666666666,12,5,0.4166666666666667,18,9,0.5,6,4,0.6666666666666666,6,1,0.16666666666666666,6,4,0.6666666666666666,9,2,0.2222222222222222,9,7,0.7777777777777778,3,1,0.3333333333333333,3,3,1.0,3,0,0.0,3,1,0.3333333333333333,3,1,0.3333333333333333,3,3,1.0,REP IND NPP,TIE,True,False,False
