Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt
333,WAY,94536,832210,1,3,Centerville,False
334,CT,94538,832900,0,3,Centerville,False
335,CMN,94538,832620,2,3,Centerville,False
336,CT,94538,832710,0,3,Centerville,False
337,AVE,94536,835500,0,3,Downtown / BART,True
338,ST,94536,835400,0,3,Downtown / BART,False
339,CMN,94538,835310,0,3,Downtown / BART,False
340,GRN,94536,835420,0,3,Downtown / BART,False
341,TER,94536,835000,0,3,Downtown / BART,False
342,WAY,94536,832210,1,3,Centerville,False
343,AVE,94538,832210,1,3,Centerville,True
344,LOOP,94536,835010,0,3,Centerville,False
345,BLVD,94538,835310,0,3,Downtown / BART,True
346,BLVD,94536,832210,2,3,Centerville,False
347,BLVD,94538,832700,2,3,Centerville,True
348,BLVD,94538,835310,0,3,Downtown / BART,True
349,RD,94538,832600,1,3,Centerville,False
350,ST,94536,835040,0,3,Downtown / BART,False
351,WAY,94536,832110,0,3,Centerville,False
352,WAY,94536,835410,0,3,Downtown / BART,False
353,CMN,94536,835000,0,3,Downtown / BART,False
354,GRN,94536,835420,0,3,Downtown / BART,False
355,AVE,94538,832600,1,3,Centerville,False
356,DR,94536,832210,2,3,Centerville,False
357,CMN,94538,835310,0,3,Downtown / BART,False
358,TER,94538,832910,0,3,Centerville,False
359,AVE,94538,835300,0,3,Downtown / BART,True
360,AVE,94536,835200,0,3,Centerville,True
361,WAY,94536,832400,0,3,Centerville,False
362,CMN,94536,835500,0,3,Downtown / BART,False
363,LOOP,94536,835010,0,3,Centerville,False
364,ST,94536,835040,0,3,Downtown / BART,False
365,PL,94538,832910,0,3,Centerville,False
366,AVE,94538,832810,0,3,Centerville,False
367,CT,94538,832600,1,3,Centerville,False
368,RD,94538,832600,1,3,Centerville,False
369,ST,94536,835200,0,3,Centerville,True
370,DR,94538,832610,1,3,Centerville,False
371,CMN,94536,832110,0,3,Centerville,False
372,TER,94538,832610,2,3,Centerville,False
373,DR,94538,832900,0,3,Centerville,False
374,CT,94538,832600,1,3,Centerville,False
375,DR,94536,832210,1,3,Centerville,True
376,DR,94536,832400,0,3,Centerville,False
377,PL,94538,832910,0,3,Centerville,False
378,ST,94536,835300,0,3,Downtown / BART,True
379,CMN,94538,835310,0,3,Downtown / BART,False
380,ST,94538,832800,0,3,Centerville,False
381,WAY,94536,835100,0,3,Centerville,False
382,ST,94536,835010,0,3,Centerville,False
383,ST,94538,832800,0,3,Centerville,False
384,DR,94538,832620,2,3,Centerville,False
385,LN,94538,832700,1,3,Centerville,False
386,CMN,94538,835310,0,3,Downtown / BART,False
387,BLVD,94538,832700,2,3,Centerville,True
388,AVE,94538,832600,1,3,Centerville,False
389,AVE,94538,835310,0,3,Downtown / BART,True
390,ST,94536,835000,0,3,Downtown / BART,True
391,WAY,94538,832610,2,3,Centerville,True
392,AVE,94538,832600,1,3,Centerville,False
393,CMN,94538,835310,0,3,Downtown / BART,False
394,TER,94536,835100,0,3,Centerville,False
395,BLVD,94538,832700,2,3,Centerville,True
396,WAY,94538,832610,2,3,Centerville,False
397,AVE,94536,835500,0,3,Downtown / BART,True
398,ST,94536,832110,0,3,Centerville,False
399,CMN,94536,835000,0,3,Downtown / BART,False
400,AVE,94536,835500,0,3,Downtown / BART,False
401,TER,94536,835200,0,3,Centerville,False
402,CMN,94536,835100,0,3,Centerville,False
403,DR,94536,835400,0,3,Downtown / BART,False
404,ST,94536,835000,0,3,Downtown / BART,True
405,DR,94538,832810,0,3,Centerville,False
406,CMN,94538,835310,0,3,Downtown / BART,False
407,PL,94538,832910,0,3,Centerville,False
408,DR,94536,832110,0,3,Centerville,False
409,AVE,94538,835310,0,3,Downtown / BART,True
410,TER,94538,835420,0,3,Downtown / BART,False
411,AVE,94538,832400,0,3,Centerville,True
412,BLVD,94536,835410,0,3,Downtown / BART,False
413,DR,94538,832610,2,3,Centerville,True
414,PL,94538,832600,1,3,Centerville,False
415,CMN,94538,835310,0,3,Downtown / BART,False
416,WAY,94538,832610,2,3,Centerville,True
417,AVE,94538,832210,1,3,Centerville,True
418,CMN,94536,835050,0,3,Centerville,False
419,AVE,94536,835000,0,3,Downtown / BART,False
420,BLVD,94538,835310,0,3,Downtown / BART,True
421,AVE,94536,835500,0,3,Downtown / BART,True
422,BLVD,94538,835310,0,3,Downtown / BART,True
423,CMN,94536,835000,0,3,Downtown / BART,False
424,CT,94538,832600,1,3,Centerville,False
425,BLVD,94538,835310,0,3,Downtown / BART,True
426,AVE,94538,832400,0,3,Centerville,True
427,DR,94538,832900,0,3,Centerville,False
428,CT,94536,835400,0,3,Downtown / BART,False
429,DR,94536,832210,2,3,Centerville,False
430,DR,94536,835400,0,3,Downtown / BART,False
431,BLVD,94538,832700,2,3,Centerville,True
432,AVE,94538,832600,1,3,Centerville,False
433,AVE,94538,835310,0,3,Downtown / BART,True
434,BLVD,94536,835100,0,3,Centerville,True
435,CMN,94536,835300,0,3,Downtown / BART,False
436,AVE,94538,832810,0,3,Centerville,False
437,ST,94536,835000,0,3,Downtown / BART,True
438,DR,94538,832810,0,3,Centerville,False
439,AVE,94538,832400,0,3,Centerville,True
440,AVE,94536,835040,0,3,Downtown / BART,False
441,DR,94536,832400,0,3,Centerville,False
442,AVE,94538,832600,1,3,Centerville,False
443,DR,94538,832810,0,3,Centerville,False
444,BLVD,94536,832210,1,3,Centerville,True
445,ST,94538,835310,0,3,Downtown / BART,True
446,AVE,94536,835500,0,3,Downtown / BART,True
447,AVE,94538,835300,0,3,Downtown / BART,False
448,CT,94538,832810,0,3,Centerville,False
449,AVE,94538,832400,0,3,Centerville,True
450,BLVD,94538,832700,1,3,Centerville,True
451,DR,94536,835100,0,3,Centerville,False
452,BLVD,94538,835310,0,3,Downtown / BART,True
453,ST,94536,835200,0,3,Centerville,True
454,CIR,94536,835400,0,3,Downtown / BART,False
455,BLVD,94538,832700,2,3,Centerville,True
456,ST,94536,835200,0,3,Centerville,True
457,AVE,94536,835300,0,3,Downtown / BART,True
458,BLVD,94536,832210,1,3,Centerville,True
459,AVE,94538,832600,1,3,Centerville,False
460,PL,94538,832910,0,3,Centerville,False
461,RD,94538,832900,0,3,Centerville,False
462,CT,94536,835010,0,3,Centerville,False
463,PL,94538,832910,0,3,Centerville,False
464,ST,94536,835300,0,3,Downtown / BART,True
465,AVE,94538,835300,0,3,Downtown / BART,True
466,RD,94538,832900,0,3,Centerville,False
467,ST,94536,832110,0,3,Centerville,False
468,BLVD,94538,832700,2,3,Centerville,True
469,CMN,94536,835100,0,3,Centerville,False
470,AVE,94538,832600,1,3,Centerville,False
471,ST,94536,835000,0,3,Downtown / BART,False
472,TER,94538,832910,0,3,Centerville,False
473,PL,94536,835500,0,3,Downtown / BART,False
474,CMN,94538,835310,0,3,Downtown / BART,False
475,PL,94536,835500,0,3,Downtown / BART,False
476,CMN,94536,835100,0,3,Centerville,False
477,ST,94536,835100,0,3,Centerville,False
478,CT,94538,832710,0,3,Centerville,False
479,AVE,94538,832600,1,3,Centerville,False
480,DR,94538,832900,0,3,Centerville,False
481,AVE,94536,835040,0,3,Downtown / BART,False
482,ST,94538,832800,0,3,Centerville,False
483,CT,94536,835410,0,3,Downtown / BART,False
484,AVE,94536,835400,0,3,Downtown / BART,False
485,ST,94536,835400,0,3,Downtown / BART,True
486,CT,94538,832600,1,3,Centerville,False
487,AVE,94536,835500,0,3,Downtown / BART,True
488,RD,94536,832400,0,3,Centerville,False
489,RD,94538,832900,0,3,Centerville,False
490,CMN,94536,835400,0,3,Downtown / BART,False
491,BLVD,94536,835100,0,3,Centerville,True
492,PL,94538,832910,0,3,Centerville,False
493,AVE,94536,835040,0,3,Downtown / BART,False
494,AVE,94538,832800,0,3,Centerville,False
495,CT,94536,835010,0,3,Centerville,False
496,PL,94536,835000,0,3,Downtown / BART,False
497,CMN,94536,835300,0,3,Downtown / BART,False
498,BLVD,94536,835500,0,3,Downtown / BART,False
499,PL,94538,832910,0,3,Centerville,False
500,CT,94536,835400,0,3,Downtown / BART,False
501,DR,94538,832810,0,3,Centerville,False
502,AVE,94538,835300,0,3,Downtown / BART,True
503,DR,94536,835300,0,3,Downtown / BART,True
504,CMN,94536,835100,0,3,Centerville,False
505,CMN,94536,835500,0,3,Downtown / BART,False
506,ST,94536,835300,0,3,Downtown / BART,True
507,ST,94536,835300,0,3,Downtown / BART,True
508,LN,94538,832610,2,3,Centerville,True
509,WAY,94538,832610,2,3,Centerville,True
510,DR,94538,832710,0,3,Centerville,False
511,CT,94536,831730,0,3,Downtown / BART,False
512,TER,94538,832910,0,3,Centerville,False
513,DR,94538,832900,0,3,Centerville,False
514,CMN,94538,835310,0,3,Downtown / BART,False
515,BLVD,94538,832700,2,3,Centerville,True
516,CT,94536,835040,0,3,Downtown / BART,False
517,CMN,94536,835000,0,3,Downtown / BART,False
518,BLVD,94538,832700,2,3,Centerville,True
519,BLVD,94538,835310,0,3,Downtown / BART,True
520,ST,94536,835400,0,3,Downtown / BART,True
521,WAY,94538,832900,0,3,Centerville,False
522,PKWY,94536,835100,0,3,Centerville,False
523,ST,94538,832810,0,3,Centerville,False
524,AVE,94536,835500,0,3,Downtown / BART,False
525,DR,94538,832620,2,3,Centerville,False
526,DR,94538,832800,0,3,Centerville,False
527,BLVD,94538,832700,2,3,Centerville,True
528,LN,94538,832700,1,3,Centerville,False
529,DR,94538,832810,0,3,Centerville,True
530,AVE,94536,835040,0,3,Downtown / BART,False
