Hid,StreetType,Zip,Precinct,PrecinctSub,District,CityArea,isApt,cHid
208,WAY,94536,832400,0,3,Centerville,False,208
209,CMN,94536,835100,0,3,Centerville,False,209
210,WAY,94538,832620,2,3,Centerville,False,210
211,DR,94538,832900,0,3,Centerville,False,211
212,ST,94536,835300,0,3,Downtown / BART,False,212
213,AVE,94536,835300,0,3,Downtown / BART,True,213
214,DR,94536,831730,0,3,Downtown / BART,False,214
215,ST,94536,832110,0,3,Centerville,False,215
216,WAY,94538,832610,2,3,Centerville,True,216
217,BLVD,94538,835310,0,3,Downtown / BART,True,217
218,CMN,94536,835010,0,3,Centerville,False,218
219,CMN,94538,832610,1,3,Centerville,False,219
220,CMN,94538,835310,0,3,Downtown / BART,False,220
221,BLVD,94538,835310,0,3,Downtown / BART,True,221
222,WAY,94536,832210,2,3,Centerville,False,222
223,AVE,94538,835300,0,3,Downtown / BART,True,223
224,ST,94536,835010,0,3,Centerville,False,224
225,BLVD,94538,832700,2,3,Centerville,True,225
226,PKWY,94536,835300,0,3,Downtown / BART,True,226
227,PL,94536,835500,0,3,Downtown / BART,False,227
228,DR,94536,835300,0,3,Downtown / BART,True,228
229,CT,94536,832110,0,3,Centerville,False,229
230,AVE,94538,832600,1,3,Centerville,False,230
231,CMN,94536,835300,0,3,Downtown / BART,False,231
232,ST,94536,835200,0,3,Centerville,True,232
233,AVE,94538,835300,0,3,Downtown / BART,True,233
234,LN,94538,832900,0,3,Centerville,False,234
235,CT,94538,832800,0,3,Centerville,False,235
236,UKN,94536,835100,0,3,Centerville,False,236
237,CT,94536,835500,0,3,Downtown / BART,False,237
238,AVE,94538,832710,0,3,Centerville,False,238
239,WAY,94538,832600,1,3,Centerville,True,239
240,AVE,94538,835300,0,3,Downtown / BART,True,240
241,CT,94536,831730,0,3,Downtown / BART,False,241
242,AVE,94536,835300,0,3,Downtown / BART,True,242
243,ST,94538,832800,0,3,Centerville,False,243
244,BLVD,94538,832700,2,3,Centerville,True,244
245,CMN,94536,835000,0,3,Downtown / BART,False,245
246,CT,94538,832810,0,3,Centerville,False,246
247,ST,94536,835010,0,3,Centerville,False,247
248,CMN,94536,835100,0,3,Centerville,False,248
249,AVE,94536,835200,0,3,Centerville,True,249
250,DR,94538,832710,0,3,Centerville,False,250
251,CMN,94536,835100,0,3,Centerville,False,251
252,TER,94536,835200,0,3,Centerville,False,252
253,TER,94536,832110,0,3,Centerville,False,253
254,DR,94536,832400,0,3,Centerville,False,254
255,LN,94538,832610,2,3,Centerville,True,255
256,TER,94536,835500,0,3,Downtown / BART,False,256
257,CMN,94538,835310,0,3,Downtown / BART,False,257
258,LN,94538,832900,0,3,Centerville,False,258
259,DR,94538,832600,1,3,Centerville,False,259
260,BLVD,94538,832700,2,3,Centerville,True,260
261,AVE,94538,832810,0,3,Centerville,False,261
262,DR,94536,832110,0,3,Centerville,False,262
263,BLVD,94538,835310,0,3,Downtown / BART,True,263
264,DR,94538,832610,2,3,Centerville,True,264
265,BLVD,94538,832700,2,3,Centerville,True,265
266,ST,94536,835010,0,3,Centerville,False,266
267,CMN,94536,835000,0,3,Downtown / BART,False,267
268,CMN,94538,835310,0,3,Downtown / BART,False,268
269,ST,94538,835310,0,3,Downtown / BART,True,269
270,DR,94538,832800,0,3,Centerville,False,270
271,ST,94538,835310,0,3,Downtown / BART,True,271
272,DR,94538,832800,0,3,Centerville,False,272
273,DR,94536,835400,0,3,Downtown / BART,False,273
274,DR,94538,832810,0,3,Centerville,False,274
275,DR,94538,832610,1,3,Centerville,False,275
276,ST,94538,832810,0,3,Centerville,False,276
277,ST,94536,835300,0,3,Downtown / BART,True,277
278,AVE,94536,835500,0,3,Downtown / BART,True,278
279,DR,94536,835100,0,3,Centerville,False,279
280,RD,94538,832810,0,3,Centerville,False,280
281,BLVD,94538,832700,2,3,Centerville,True,281
282,CMN,94538,835310,0,3,Downtown / BART,False,282
283,ST,94536,835000,0,3,Downtown / BART,True,283
284,BLVD,94536,832210,1,3,Centerville,True,284
285,WAY,94536,835100,0,3,Centerville,False,285
286,RD,94538,832600,1,3,Centerville,False,286
287,AVE,94538,835310,0,3,Downtown / BART,True,287
288,DR,94536,832210,2,3,Centerville,False,288
289,LN,94538,832700,1,3,Centerville,False,289
290,DR,94536,835100,0,3,Centerville,False,290
291,RD,94538,832710,0,3,Centerville,False,291
292,BLVD,94538,832700,1,3,Centerville,True,292
293,RD,94538,832810,0,3,Centerville,True,293
294,CT,94536,835400,0,3,Downtown / BART,False,294
295,CT,94536,835500,0,3,Downtown / BART,False,295
296,AVE,94538,835300,0,3,Downtown / BART,True,296
297,ST,94538,832710,0,3,Centerville,False,297
298,CT,94538,832900,0,3,Centerville,False,298
299,AVE,94538,835310,0,3,Downtown / BART,True,299
300,DR,94536,832110,0,3,Centerville,False,300
301,RD,94538,832810,0,3,Centerville,True,301
302,TER,94536,835500,0,3,Downtown / BART,False,302
303,RD,94538,832600,1,3,Centerville,False,303
304,CMN,94538,835310,0,3,Downtown / BART,False,304
305,CMN,94538,835310,0,3,Downtown / BART,False,305
306,BLVD,94538,835310,0,3,Downtown / BART,True,306
307,AVE,94538,832600,1,3,Centerville,False,307
308,AVE,94536,832400,0,3,Centerville,False,308
309,WAY,94538,832600,1,3,Centerville,True,309
310,PL,94538,832600,1,3,Centerville,False,310
311,DR,94538,832620,2,3,Centerville,False,311
312,CIR,94536,835400,0,3,Downtown / BART,False,312
313,PL,94538,832910,0,3,Centerville,False,313
314,CMN,94538,835310,0,3,Downtown / BART,False,314
315,CT,94536,835400,0,3,Downtown / BART,False,315
316,RD,94538,832600,1,3,Centerville,False,316
317,CT,94536,835010,0,3,Centerville,False,317
318,DR,94538,832800,0,3,Centerville,False,318
319,BLVD,94536,835100,0,3,Centerville,True,319
320,RD,94536,832400,0,3,Centerville,True,320
321,DR,94538,832710,0,3,Centerville,False,321
322,AVE,94538,835310,0,3,Downtown / BART,True,322
323,PL,94538,832910,0,3,Centerville,False,323
324,CT,94536,835400,0,3,Downtown / BART,False,324
325,WAY,94536,832400,0,3,Centerville,False,325
326,ST,94536,835400,0,3,Downtown / BART,False,326
327,RD,94538,832600,1,3,Centerville,False,327
328,TER,94536,832110,0,3,Centerville,False,328
329,ST,94536,835200,0,3,Centerville,True,329
330,BLVD,94538,832700,2,3,Centerville,True,330
331,PL,94536,835500,0,3,Downtown / BART,False,331
332,DR,94536,835100,0,3,Centerville,False,332
333,BLVD,94538,832700,2,3,Centerville,True,333
334,CMN,94536,835000,0,3,Downtown / BART,False,334
335,ST,94536,835000,0,3,Downtown / BART,True,335
336,CMN,94536,835100,0,3,Centerville,True,336
337,CMN,94538,832610,1,3,Centerville,False,337
338,AVE,94536,835300,0,3,Downtown / BART,True,338
339,PL,94536,835410,0,3,Downtown / BART,False,339
340,DR,94536,835300,0,3,Downtown / BART,True,340
341,ST,94536,835040,0,3,Downtown / BART,False,341
342,DR,94536,835100,0,3,Centerville,False,342
343,BLVD,94538,835310,0,3,Downtown / BART,False,343
344,DR,94538,832810,0,3,Centerville,False,344
345,AVE,94536,835200,0,3,Centerville,True,345
346,BLVD,94538,835310,0,3,Downtown / BART,True,346
347,CMN,94538,835310,0,3,Downtown / BART,False,347
348,BLVD,94538,835310,0,3,Downtown / BART,True,348
349,DR,94536,835300,0,3,Downtown / BART,True,349
350,AVE,94536,835000,0,3,Downtown / BART,False,350
351,ST,94538,832800,0,3,Centerville,False,351
352,RD,94538,832600,1,3,Centerville,False,352
353,CT,94536,835010,0,3,Centerville,False,353
354,LN,94538,832810,0,3,Centerville,False,354
355,AVE,94538,832710,0,3,Centerville,False,355
356,CMN,94536,835500,0,3,Downtown / BART,False,356
357,WAY,94538,832600,1,3,Centerville,False,357
358,WAY,94538,832600,1,3,Centerville,False,358
359,DR,94538,832610,2,3,Centerville,True,359
360,DR,94538,832800,0,3,Centerville,False,360
361,DR,94538,832620,1,3,Centerville,False,361
362,CMN,94536,835100,0,3,Centerville,False,362
363,CT,94536,835420,0,3,Downtown / BART,False,363
364,AVE,94536,835500,0,3,Downtown / BART,False,364
365,DR,94536,832210,2,3,Centerville,False,365
366,BLVD,94538,835310,0,3,Downtown / BART,True,366
367,BLVD,94538,835310,0,3,Downtown / BART,True,367
368,CMN,94536,835100,0,3,Centerville,False,368
369,DR,94536,835300,0,3,Downtown / BART,True,369
370,TER,94536,835500,0,3,Downtown / BART,False,370
371,WAY,94536,835410,0,3,Downtown / BART,False,371
372,DR,94538,832900,0,3,Centerville,False,372
373,CT,94538,832910,0,3,Centerville,False,373
374,DR,94536,832400,0,3,Centerville,False,374
375,DR,94536,835400,0,3,Downtown / BART,False,375
